longitude,latitude,elevation,slope,dist_settlement
77.45723537320573,8.870863430680274,131,0.23187147,0.0
77.50215113741172,8.870863430680274,124,0.11891877,1000.0
77.5470669016177,8.870863430680274,126,0.03088468,0.0
77.59198266582366,8.870863430680274,118,0.25538278,0.0
77.63689843002965,8.870863430680274,99,0.24073622,1000.0
77.68181419423561,8.870863430680274,76,0.24797487,2000.0
77.7267299584416,8.870863430680274,69,0.36313033,3000.0
77.77164572264758,8.870863430680274,45,0.13037908,3162.2776601683795
77.81656148685354,8.870863430680274,47,0.24258837,3605.551275463989
77.86147725105953,8.870863430680274,57,0.28179413,4242.640687119285
77.9063930152655,8.870863430680274,61,0.1762723,5000.0
77.95130877947147,8.870863430680274,40,0.13087627,5830.951894845301
76.6038358532922,8.91577919488625,12,0.080587886,0.0
76.64875161749816,8.91577919488625,26,0.23369975,0.0
76.69366738170415,8.91577919488625,33,0.20499475,1000.0
76.73858314591013,8.91577919488625,30,0.11368559,2000.0
76.7834989101161,8.91577919488625,69,0.48850915,2828.42712474619
76.82841467432208,8.91577919488625,87,0.20448726,2828.42712474619
76.87333043852804,8.91577919488625,80,0.2877873,2236.06797749979
76.91824620273403,8.91577919488625,79,0.46327394,2000.0
76.96316196694,8.91577919488625,154,0.6327779,2236.06797749979
77.00807773114597,8.91577919488625,175,1.0051069,2828.42712474619
77.05299349535196,8.91577919488625,157,0.06232578,3605.551275463989
77.09790925955792,8.91577919488625,153,0.47701845,4472.13595499958
77.1428250237639,8.91577919488625,162,1.5986546,5385.1648071345035
77.18774078796989,8.91577919488625,486,5.556757,5099.019513592784
77.23265655217585,8.91577919488625,583,9.07124,4123.105625617661
77.27757231638184,8.91577919488625,434,8.834514,3162.2776601683795
77.32248808058782,8.91577919488625,164,0.7148132,2236.06797749979
77.36740384479378,8.91577919488625,158,0.29372725,1414.213562373095
77.41231960899977,8.91577919488625,137,0.3589611,1000.0
77.45723537320573,8.91577919488625,118,0.20620592,1000.0
77.50215113741172,8.91577919488625,105,0.11099854,1414.213562373095
77.5470669016177,8.91577919488625,96,0.054988466,1000.0
77.59198266582366,8.91577919488625,96,0.23005192,0.0
77.63689843002965,8.91577919488625,80,0.1540259,1000.0
77.68181419423561,8.91577919488625,70,0.16534351,2000.0
77.7267299584416,8.91577919488625,68,0.24855791,3000.0
77.77164572264758,8.91577919488625,54,0.10805977,4000.0
77.81656148685354,8.91577919488625,71,0.2476694,4472.13595499958
77.86147725105953,8.91577919488625,75,0.15458144,5000.0
77.9063930152655,8.91577919488625,64,0.18562913,5656.85424949238
77.95130877947147,8.91577919488625,55,0.16213092,6403.1242374328485
76.55892008908621,8.960694959092226,11,0.079728,0.0
76.6038358532922,8.960694959092226,5,0.052117415,1000.0
76.64875161749816,8.960694959092226,19,0.3448351,0.0
76.69366738170415,8.960694959092226,51,0.27403834,1000.0
76.73858314591013,8.960694959092226,67,0.3025994,2000.0
76.7834989101161,8.960694959092226,50,0.12711182,2828.42712474619
76.82841467432208,8.960694959092226,71,0.3514326,2236.06797749979
76.87333043852804,8.960694959092226,101,0.3436994,1414.213562373095
76.91824620273403,8.960694959092226,69,0.32348183,1000.0
76.96316196694,8.960694959092226,141,0.5275888,1414.213562373095
77.00807773114597,8.960694959092226,87,0.45111263,2236.06797749979
77.05299349535196,8.960694959092226,191,2.613289,3162.2776601683795
77.09790925955792,8.960694959092226,305,1.1163857,4123.105625617661
77.1428250237639,8.960694959092226,329,0.7938781,5099.019513592784
77.18774078796989,8.960694959092226,509,4.3437967,5385.1648071345035
77.23265655217585,8.960694959092226,179,0.590572,4472.13595499958
77.27757231638184,8.960694959092226,170,0.22330265,3605.551275463989
77.32248808058782,8.960694959092226,170,0.21412888,2828.42712474619
77.36740384479378,8.960694959092226,147,0.25952488,2236.06797749979
77.41231960899977,8.960694959092226,134,0.22330265,2000.0
77.45723537320573,8.960694959092226,135,0.24330851,2000.0
77.50215113741172,8.960694959092226,126,0.17070958,2236.06797749979
77.5470669016177,8.960694959092226,120,0.26854062,1414.213562373095
77.59198266582366,8.960694959092226,132,0.40089783,1000.0
77.63689843002965,8.960694959092226,104,0.19409186,1414.213562373095
77.68181419423561,8.960694959092226,93,0.26158747,2236.06797749979
77.7267299584416,8.960694959092226,92,0.17283183,3162.2776601683795
77.77164572264758,8.960694959092226,68,0.12582895,4123.105625617661
77.81656148685354,8.960694959092226,88,0.24172609,5099.019513592784
77.86147725105953,8.960694959092226,96,0.11324775,5830.951894845301
77.9063930152655,8.960694959092226,82,0.18025023,6403.1242374328485
77.95130877947147,8.960694959092226,69,0.09738138,7071.067811865476
76.55892008908621,9.005610723298203,14,0.09970806,0.0
76.6038358532922,9.005610723298203,9,0.15168877,1000.0
