longitude,latitude,ndvi_2006,ndvi_2007,ndvi_2008,ndvi_2009,ndvi_2010,ndvi_2011,ndvi_2013,ndvi_2014,ndvi_2015,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndvi_2026,ndvi_trend,ndvi_std,ndvi_min,n_loss_years,elevation,slope,dist_settlement,class,predict_mask
74.044,19.336,,,0.15300381,0.18949512,0.23322639,0.2871118,0.19826713,0.2450792,0.28102067,0.27402627,0.2178192,0.2888938,0.22176152,0.30066228,0.32359463,0.30554217,0.2941648,0.31608653,0.25250754,0.28920957,0.005788657010730709,0.04690975349875014,0.15300381,18,919.0,1.482296,4123.105625617661,,0
74.044,19.381,,,0.16480093,0.19063132,0.18040694,0.29704294,0.2120707,0.25453356,0.29038882,0.27521297,0.29308113,0.3024108,0.2488953,0.2838755,0.3368009,0.29575074,0.2931869,0.2953721,0.2944289,0.2993643,0.006433561730199285,0.047140814265567065,0.16480093,18,828.0,3.1948345,5099.019513592784,,0
74.044,19.426,,,0.16182137,0.2768626,0.24158517,0.35899788,0.2698775,0.34464055,0.34334427,0.36746606,0.32377687,0.3655725,0.34798133,0.38768017,0.44530287,0.42765227,0.42732424,0.41852382,0.40355,0.44299713,0.011780123965252938,0.0741178048180489,0.16182137,8,684.0,0.95624596,5000.0,,0
74.044,19.471,,,0.17056036,0.2088135,0.25815684,0.2858936,0.21727772,0.28016782,0.29769984,0.28727862,0.25947893,0.30808175,0.21708034,0.30040735,0.34681937,0.31659746,0.3201349,0.2915667,0.29132083,0.29075956,0.005202494674501786,0.04394776713768404,0.17056036,18,739.0,1.9422289,4472.13595499958,,0
74.044,19.516,,,0.22685438,0.25278372,0.31048402,0.3269033,0.25267023,0.27300394,0.3373349,0.31706202,0.31144437,0.37261194,0.37643132,0.4063611,0.43522254,0.373036,0.41797185,0.41524762,0.39898145,0.38572198,0.0097291436443536,0.06187180602165237,0.22685438,9,652.0,1.61077,4123.105625617661,,0
74.044,19.561,,,0.25537175,0.32595575,0.39588624,0.4395096,0.3204531,0.36912468,0.47070742,0.4261574,0.45842263,0.436134,0.45145038,0.49993238,0.50862736,0.4711907,0.5110291,0.49137217,0.50901246,0.4840687,0.010888914368932039,0.07192995004996433,0.25537175,3,610.0,1.1252114,4000.0,,1
74.044,19.606,,,0.19874324,0.29733175,0.30561885,0.38101307,0.23415662,0.27674866,0.34194192,0.3607727,0.3555973,0.38153985,0.28218472,0.36935386,0.37330717,0.3921474,0.411985,0.41189358,0.39752653,0.37165025,0.007868404896269802,0.06005075623463735,0.19874324,7,730.0,1.3909382,4123.105625617661,,0
74.044,19.651,,,0.2665112,0.38062695,0.35614038,0.41663802,0.32968745,0.34747943,0.41813874,0.43853846,0.40728498,0.46177152,0.39192137,0.4207687,0.42196918,0.42378893,0.46809855,0.44594035,0.4267465,0.40990725,0.0060093405784363806,0.04877967870344639,0.2665112,3,672.0,0.8131564,4000.0,,0
74.044,19.696,,,0.15424804,0.24649778,0.23037459,0.31470817,0.21286112,0.19596465,0.32906714,0.3068542,0.30997556,0.27398905,0.24478257,0.30081636,0.28236893,0.2905069,0.29780236,0.32041135,0.2828392,0.33085454,0.005306486218702094,0.0482092595113198,0.15424804,18,728.0,0.49110612,3000.0,,0
74.044,19.74,,,0.19620931,0.2756235,0.35781497,0.4907824,0.21845737,0.30551088,0.36751,0.3781998,0.41344422,0.5064393,0.25265437,0.39201945,0.4294937,0.37650144,0.41745573,0.3384856,0.36750945,0.39844108,0.005636208090955544,0.08222433367863118,0.19620931,6,767.0,2.1152265,2000.0,,0
74.044,19.785,,,0.17283982,0.19679478,0.2559701,0.44604328,0.18115388,0.2079508,0.24839452,0.22431774,0.29190084,0.31450376,0.1881082,0.35582307,0.40675667,0.27794436,0.42760962,0.2553594,0.37384024,0.39159703,0.008326768209504343,0.08791697337133632,0.17283982,12,696.0,1.1586479,1000.0,,0
74.044,19.83,,,0.21413718,0.28615537,0.29296783,0.4656059,0.2141624,0.35525063,0.4526725,0.31753245,0.34698248,0.49697244,0.21239789,0.4761641,0.46462652,0.41820067,0.46817607,0.3914392,0.38065574,0.45628744,0.009070032755237604,0.09488086193636142,0.21239789,7,643.0,0.33552724,0.0,,0
74.044,19.875,,,0.15226012,0.19553702,0.20878264,0.28411698,0.17161697,0.18001154,0.2195164,0.20573965,0.17953627,0.20117185,0.16803971,0.21786116,0.24493998,0.2608869,0.29881167,0.24433717,0.2682736,0.29665798,0.004988299034236074,0.04440173913509771,0.15226012,18,668.0,1.1062895,1000.0,,0
74.044,19.92,,,0.1475897,0.21573749,0.18116137,0.47541818,0.17788768,0.22054608,0.26866302,0.25340024,0.24278548,0.25214624,0.18896843,0.3317693,0.28525972,0.3380033,0.39647684,0.27625006,0.2890045,0.35685718,0.006610447408277976,0.08143998747727284,0.1475897,15,623.0,0.5013229,2000.0,,0
74.044,19.965,,,0.17726573,0.23000495,0.204004,0.48599046,0.25883564,0.3865511,0.45527443,0.4216038,0.35160816,0.44049168,0.40852287,0.43905053,0.49546787,0.44711125,0.4339425,0.39210558,0.39507756,0.41569418,0.0107360143740419,0.094012218198402,0.17726573,4,589.0,0.5522134,2000.0,,0
74.044,20.01,,,0.25954413,0.37596607,0.42499623,0.59986275,0.41319475,0.5347629,0.5181203,0.5496915,0.4984777,0.53362423,0.50892514,0.56730837,0.5565099,0.5654231,0.5733726,0.5426818,0.5571296,0.5271919,0.010038222421052631,0.08304426385764943,0.25954413,1,551.0,0.27226916,1000.0,,1
74.044,20.055,,,0.30570582,0.42496592,0.40327948,0.45615214,0.38862097,0.49450183,0.53764963,0.49192688,0.5472176,0.5544963,0.52297896,0.5431701,0.5596683,0.53765315,0.5109809,0.60242003,0.55383044,0.5532106,0.011104110235053654,0.07358940766337371,0.30570582,1,543.0,0.19063343,0.0,,1
74.044,20.1,,,0.2356949,0.3661017,0.29811558,0.48472458,0.28601933,0.48610848,0.52746296,0.4363396,0.5122735,0.50864464,0.4018876,0.5283354,0.5643277,0.49746314,0.49907404,0.4516828,0.5110648,0.47875458,0.010694952068472149,0.0911782007019189,0.2356949,3,557.0,0.15377794,1000.0,,0
74.044,20.145,,,0.28275365,0.4521555,0.37604004,0.5544585,0.35663465,0.6008182,0.6210561,0.58195144,0.5619428,0.61530054,0.47608802,0.57962966,0.6127563,0.63667727,0.61624956,0.6090332,0.5860784,0.57556164,0.012698354842105262,0.10193028068802819,0.28275365,1,567.0,0.24153267,2000.0,,1
